,architecture,variance,psnr,psnr std,ssim,ssim std,second,loss,num classes,num repeat,degree,factor,polynomial,polynomial degree
4849,decreasing,22.5,-41.596615,21.006714,0.029635511,0.13249323,True,probability,5.0,1.0,3.0,1.0,True,3.0
4850,decreasing,22.5,26.987585,1.5418044,0.75877666,0.04755328,True,probability,5.0,1.0,3.0,1.0,True,4.0
4851,decreasing,22.5,22.014235,16.114304,0.657975,0.2209535,True,probability,5.0,1.0,3.0,1.0,True,5.0
4852,decreasing,22.5,26.53609,1.8919209,0.74816674,0.051719774,True,probability,5.0,1.0,3.0,0.3162277660168379,True,1.0
4853,decreasing,22.5,26.521334,1.9385985,0.73572636,0.06569874,True,probability,5.0,1.0,3.0,0.3162277660168379,True,2.0
4854,decreasing,22.5,18.369873,18.382502,0.5984874,0.2717389,True,probability,5.0,1.0,3.0,0.3162277660168379,True,3.0
4855,decreasing,22.5,4.1612988,28.091015,0.43124002,0.34376174,True,probability,5.0,1.0,3.0,0.3162277660168379,True,5.0
4856,decreasing,22.5,26.883606,3.8659558,0.7541289,0.04697124,True,probability,5.0,1.0,3.0,0.3162277660168379,False,-1.0
4857,decreasing,22.5,26.93044,1.7320094,0.75646955,0.040661562,True,probability,5.0,1.0,4.0,10.0,True,1.0
4858,decreasing,22.5,8.287342,41.310005,0.60750896,0.27922577,True,probability,5.0,1.0,4.0,10.0,True,2.0
4859,decreasing,22.5,-18.574095,47.30171,0.35552087,0.36017257,True,probability,5.0,1.0,4.0,10.0,True,3.0
4860,decreasing,22.5,-42.240917,26.006975,0.07151319,0.2104838,True,probability,5.0,1.0,4.0,10.0,False,-1.0
