,architecture,loss,num_classes,degree,latent_size,type,known_variance,static_gamma,chance,variance,house,peppers,barbara,boats
6603,decreasing,psnr,20,4,256,classic,0,1,0,10.0,28.124530792236328,28.12849998474121,28.10769844055176,28.149362564086918
6604,decreasing,psnr,20,4,256,classic,0,1,0,15.0,24.61048889160156,24.64970970153809,24.612712860107425,24.596725463867188
6605,decreasing,psnr,20,4,256,classic,0,1,0,20.0,22.126426696777344,22.098936080932617,22.115583419799805,22.10552406311035
6606,decreasing,psnr,20,4,256,classic,0,1,0,25.0,20.20281410217285,20.163196563720703,20.16202545166016,20.156421661376957
6607,decreasing,psnr,20,4,256,classic,0,1,0,50.0,14.12295150756836,14.139236450195312,14.161624908447266,14.131370544433594
6608,decreasing,psnr,20,4,256,classic,0,1,0,75.0,10.61788558959961,10.65163803100586,10.618362426757812,10.63751220703125
6609,decreasing,psnr,20,4,256,classic,0,1,0,100.0,8.118209838867188,8.188724517822266,8.127513885498047,8.131935119628906
6610,decreasing,psnr,20,4,256,classic,1,1,0,1.0,48.09925842285156,48.11671447753906,48.13114547729492,48.128997802734375
6611,decreasing,psnr,20,4,256,classic,1,1,0,2.0,42.0986328125,42.137962341308594,42.10887145996094,42.1121940612793
6612,decreasing,psnr,20,4,256,classic,1,1,0,5.0,34.16878890991211,34.14295196533203,34.14884185791016,34.159950256347656
6613,decreasing,psnr,20,4,256,classic,1,1,0,10.0,28.140233993530277,28.14833068847656,28.131994247436523,28.11850357055664
6614,decreasing,psnr,20,4,256,classic,1,1,0,15.0,24.596162796020508,24.63543510437012,24.618385314941406,24.61456680297852
6615,decreasing,psnr,20,4,256,classic,1,1,0,20.0,22.06295585632324,22.120624542236328,22.09736633300781,22.100971221923828
6616,decreasing,psnr,20,4,256,classic,1,1,0,25.0,20.13374900817871,20.22952461242676,20.17584609985352,20.165529251098636
6617,decreasing,psnr,20,4,256,classic,1,1,0,50.0,14.14676284790039,14.170570373535156,14.140567779541016,14.149250030517578
6618,decreasing,psnr,20,4,256,classic,1,1,0,75.0,10.673858642578123,10.662517547607422,10.60708236694336,10.635246276855469
6619,decreasing,psnr,20,4,256,classic,1,1,0,100.0,8.121837615966797,8.158531188964844,8.158618927001953,8.137680053710938
6620,decreasing,psnr,20,4,256,noconstraints,0,0,0,1.0,35.785308837890625,34.19822692871094,29.72388458251953,32.77039337158203
6621,decreasing,psnr,20,4,256,noconstraints,0,0,0,2.0,35.65071487426758,34.01813888549805,29.688831329345703,32.71455383300781
6622,decreasing,psnr,20,4,256,noconstraints,0,0,0,5.0,34.84431457519531,33.125343322753906,29.39628219604492,32.310115814208984
6623,decreasing,psnr,20,4,256,noconstraints,0,0,0,10.0,32.74763107299805,30.773683547973636,28.5880126953125,31.11526870727539
6624,decreasing,psnr,20,4,256,noconstraints,0,0,0,15.0,30.45271110534668,28.30586051940918,27.36448860168457,29.405336380004883
6625,decreasing,psnr,20,4,256,noconstraints,0,0,0,20.0,28.404008865356445,26.109825134277344,25.948644638061523,27.64177131652832
6626,decreasing,psnr,20,4,256,noconstraints,0,0,0,25.0,26.40019798278809,24.018259048461918,24.543893814086918,25.91178321838379
6627,decreasing,psnr,20,4,256,noconstraints,0,0,0,50.0,19.3911190032959,17.70024871826172,17.955032348632812,18.70533943176269
6628,decreasing,psnr,20,4,256,noconstraints,0,0,0,75.0,14.710830688476562,12.62118148803711,13.092323303222656,13.885204315185549
6629,decreasing,psnr,20,4,256,noconstraints,0,0,0,100.0,10.911327362060549,9.514610290527344,9.418991088867188,10.470108032226562
6630,decreasing,psnr,20,4,256,noconstraints,0,1,0,1.0,48.1140022277832,48.11816787719727,48.08600616455078,48.11697006225586
6631,decreasing,psnr,20,4,256,noconstraints,0,1,0,2.0,42.11319732666016,42.10124588012695,42.09260177612305,42.12675094604492
6632,decreasing,psnr,20,4,256,noconstraints,0,1,0,5.0,34.15849685668945,34.15910339355469,34.14630126953125,34.15476989746094
6633,decreasing,psnr,20,4,256,noconstraints,0,1,0,10.0,28.137603759765625,28.14857292175293,28.105037689208984,28.13381576538086
6634,decreasing,psnr,20,4,256,noconstraints,0,1,0,15.0,24.58401679992676,24.58127784729004,24.596435546875,24.616432189941406
6635,decreasing,psnr,20,4,256,noconstraints,0,1,0,20.0,22.089370727539062,22.114601135253903,22.08527374267578,22.098800659179688
6636,decreasing,psnr,20,4,256,noconstraints,0,1,0,25.0,20.11594009399414,20.12771415710449,20.141626358032227,20.16071319580078
6637,decreasing,psnr,20,4,256,noconstraints,0,1,0,50.0,14.089027404785156,14.10285186767578,14.081226348876951,14.13290786743164
6638,decreasing,psnr,20,4,256,noconstraints,0,1,0,75.0,10.610652923583984,10.57223892211914,10.57421875,10.58257293701172
6639,decreasing,psnr,20,4,256,noconstraints,0,1,0,100.0,8.0791015625,8.042339324951172,8.076934814453125,8.087162017822266
6640,decreasing,psnr,20,4,256,noconstraints,1,0,0,1.0,48.1365966796875,48.1397819519043,48.15351104736328,48.13931655883789
6641,decreasing,psnr,20,4,256,noconstraints,1,0,0,2.0,42.11180114746094,42.13439178466797,42.10112380981445,42.11567306518555
6642,decreasing,psnr,20,4,256,noconstraints,1,0,0,5.0,34.122337341308594,34.1968879699707,34.16022491455078,34.15928649902344
6643,decreasing,psnr,20,4,256,noconstraints,1,0,0,10.0,28.12882423400879,28.137941360473636,28.13387107849121,28.134008407592773
6644,decreasing,psnr,20,4,256,noconstraints,1,0,0,15.0,24.5791072845459,24.62557029724121,24.62108612060547,24.613983154296875
6645,decreasing,psnr,20,4,256,noconstraints,1,0,0,20.0,22.10844612121582,22.11830711364746,22.104963302612305,22.121938705444336
6646,decreasing,psnr,20,4,256,noconstraints,1,0,0,25.0,20.154603958129883,20.112520217895508,20.176189422607425,20.16822624206543
6647,decreasing,psnr,20,4,256,noconstraints,1,0,0,50.0,14.19903564453125,14.12847137451172,14.15509033203125,14.166278839111328
6648,decreasing,psnr,20,4,256,noconstraints,1,0,0,75.0,10.628524780273438,10.614910125732422,10.632518768310549,10.65108871459961
6649,decreasing,psnr,20,4,256,noconstraints,1,0,0,100.0,8.12899398803711,8.13970947265625,8.116889953613281,8.118061065673828
6650,decreasing,psnr,20,4,256,noconstraints,1,1,0,1.0,48.28108596801758,48.17024993896485,48.12895202636719,48.15777206420898
6651,decreasing,psnr,20,4,256,noconstraints,1,1,0,2.0,42.32237243652344,42.283294677734375,42.18774032592773,42.32832717895508
6652,decreasing,psnr,20,4,256,noconstraints,1,1,0,5.0,35.111083984375,34.94348907470703,34.67904281616211,35.11341857910156
